index,features
214,APICall::Landroid/view/MenuItem.isChecked()
215,APICall::Landroid/view/MenuItem.hasSubMenu()
216,APICall::Landroid/telephony/TelephonyManager.getNetworkType()
217,APICall::Landroid/view/ViewGroup.onAttachedToWindow()
218,APICall::Landroid/view/ViewGroup.post()
219,APICall::Landroid/view/ViewGroup.onDetachedFromWindow()
220,APICall::Landroid/view/View$MeasureSpec.getMode()
221,APICall::Landroid/os/IBinder.isBinderAlive()
222,APICall::Landroid/content/res/Resources.getResourceName()
223,APICall::Landroid/view/ViewGroup.setFocusable()
224,APICall::Landroid/view/ViewGroup.checkLayoutParams()
225,APICall::Landroid/view/ViewConfiguration.get()
226,APICall::Landroid/widget/TextView.layout()
227,APICall::Landroid/os/Parcel.dataPosition()
228,APICall::Landroid/os/Bundle.size()
229,APICall::Landroid/view/Window.addFlags()
230,APICall::Landroid/widget/AutoCompleteTextView.onKeyPreIme()
231,APICall::Landroid/widget/FrameLayout.removeView()
232,APICall::Landroid/net/Uri.parse()
233,APICall::Landroid/content/res/TypedArray.hasValue()
234,APICall::Landroid/widget/ProgressBar.onDetachedFromWindow()
235,APICall::Landroid/view/Menu.findItem()
236,APICall::Landroid/view/ViewGroup.setVisibility()
237,APICall::Landroid/view/ActionMode.getTitle()
238,APICall::Landroid/content/res/Resources.getString()
239,APICall::Landroid/view/SubMenu.getItem()
240,APICall::Landroid/view/View.addFocusables()
241,APICall::Landroid/widget/ImageButton.onDetachedFromWindow()
242,APICall::Landroid/widget/ImageButton.performClick()
243,APICall::Landroid/view/ViewStub.setVisibility()
244,APICall::Landroid/view/View.addTouchables()
245,APICall::Landroid/os/Parcel.appendFrom()
246,APICall::Landroid/util/TypedValue.applyDimension()
247,APICall::Landroid/widget/TextView.getVisibility()
248,APICall::Landroid/view/KeyEvent.getAction()
249,APICall::Landroid/view/KeyEvent.getKeyCode()
250,APICall::Landroid/view/View.setPressed()
251,APICall::Landroid/view/accessibility/AccessibilityEvent.getEventType()
252,APICall::Landroid/content/res/TypedArray.getColor()
253,APICall::Landroid/widget/PopupWindow.update()
254,APICall::Landroid/view/MenuItem.isActionViewExpanded()
255,APICall::Landroid/view/ActionMode.invalidate()
256,APICall::Landroid/os/Parcel.enforceInterface()
257,APICall::Landroid/widget/PopupWindow.setClippingEnabled()
258,APICall::Landroid/net/NetworkInfo.getDetailedState()
259,APICall::Landroid/renderscript/ScriptIntrinsicBlur.setRadius()
260,APICall::Landroid/webkit/WebStorage$QuotaUpdater.updateQuota()
261,APICall::Landroid/view/View$AccessibilityDelegate.sendAccessibilityEvent()
262,APICall::Landroid/content/ComponentName.flattenToShortString()
263,APICall::Landroid/webkit/WebView.willNotDraw()
264,APICall::Landroid/view/View.setAnimation()
265,APICall::Landroid/renderscript/ScriptIntrinsicBlur.setInput()
266,APICall::Landroid/view/SubMenu.setIcon()
267,APICall::Landroid/widget/TextView.setLayoutParams()
268,APICall::Landroid/view/FocusFinder.getInstance()
269,APICall::Landroid/content/ComponentName.flattenToString()
270,APICall::Landroid/view/View.setPadding()
271,APICall::Landroid/content/Intent.getCharSequenceExtra()
272,APICall::Landroid/view/MenuItem.setIntent()
273,APICall::Landroid/content/ServiceConnection.onServiceConnected()
274,APICall::Landroid/content/Context.getExternalCacheDir()
275,APICall::Landroid/os/Looper.getThread()
276,APICall::Landroid/content/SharedPreferences$Editor.remove()
277,APICall::Landroid/view/SubMenu.clearHeader()
278,APICall::Landroid/provider/MediaStore$Audio$Media.getContentUriForPath()
279,APICall::Landroid/view/Window.setContentView()
280,APICall::Landroid/content/ContentResolver.delete()
281,APICall::Landroid/content/ContentResolver.insert()
282,APICall::Landroid/content/res/TypedArray.getInteger()
283,APICall::Landroid/os/Bundle.getCharSequenceArray()
284,APICall::Landroid/webkit/WebView.measure()
285,APICall::Landroid/webkit/WebView.draw()
286,APICall::Landroid/view/ActionMode.setSubtitle()
287,APICall::Landroid/content/Context.bindService()
288,APICall::Landroid/content/Context.unbindService()
289,APICall::Landroid/view/accessibility/AccessibilityEvent.obtain()
290,APICall::Landroid/os/StatFs.getBlockSize()
291,APICall::Landroid/text/TextUtils.getTrimmedLength()
292,APICall::Landroid/text/SpannableStringBuilder.replace()
293,APICall::Landroid/os/Environment.getExternalStorageState()
294,APICall::Landroid/widget/OverScroller.startScroll()
295,APICall::Landroid/view/accessibility/AccessibilityEvent.setFromIndex()
296,APICall::Landroid/view/MenuItem.getActionProvider()
297,APICall::Landroid/widget/OverScroller.getCurrX()
298,APICall::Landroid/widget/OverScroller.getCurrY()
299,APICall::Landroid/widget/OverScroller.getFinalX()
300,APICall::Landroid/view/View.getBaseline()
301,APICall::Landroid/util/Log.wtf()
302,APICall::Landroid/widget/TextView.setTextSize()
303,APICall::Landroid/content/Context.getClassLoader()
304,APICall::Landroid/content/res/XmlResourceParser.getName()
305,APICall::Landroid/view/ViewGroup.verifyDrawable()
306,APICall::Landroid/content/ContentProvider.attachInfo()
307,APICall::Landroid/preference/Preference.setSummary()
308,APICall::Landroid/widget/ListAdapter.getItemViewType()
309,APICall::Landroid/os/ParcelFileDescriptor.open()
310,APICall::Landroid/view/ViewGroup.onSaveInstanceState()
311,APICall::Landroid/content/Context.deleteFile()
312,APICall::Landroid/util/SparseArray.remove()
313,APICall::Landroid/os/Bundle.getStringArrayList()
314,APICall::Landroid/net/NetworkInfo.isRoaming()
315,APICall::Landroid/view/SoundEffectConstants.getContantForFocusDirection()
316,APICall::Landroid/net/NetworkInfo.getType()
317,APICall::Landroid/net/NetworkInfo.isConnected()
318,APICall::Landroid/view/View.draw()
319,APICall::Landroid/widget/AutoCompleteTextView.onWindowFocusChanged()
320,APICall::Landroid/content/Intent.putParcelableArrayListExtra()
321,APICall::Landroid/net/Uri.isOpaque()
322,APICall::Landroid/os/Process.myPid()
323,APICall::Landroid/view/MenuItem.setTitle()
324,APICall::Landroid/widget/ImageView.setContentDescription()
325,APICall::Landroid/net/Uri.encode()
326,APICall::Landroid/widget/ImageButton.setBackgroundColor()
327,APICall::Landroid/view/Window$Callback.onContentChanged()
328,APICall::Landroid/content/Context.getTheme()
329,APICall::Landroid/os/Bundle.readFromParcel()
330,APICall::Landroid/view/MenuItem.isCheckable()
331,APICall::Landroid/view/ActionMode.setTitle()
332,APICall::Landroid/widget/ShareActionProvider.setShareHistoryFileName()
333,APICall::Landroid/view/View$AccessibilityDelegate.onInitializeAccessibilityNodeInfo()
334,APICall::Landroid/content/Context.getAssets()
335,APICall::Landroid/net/Uri$Builder.appendQueryParameter()
336,APICall::Landroid/util/SparseArray.put()
337,APICall::Landroid/widget/FrameLayout.setForeground()
338,APICall::Landroid/widget/ImageButton.setImageDrawable()
339,APICall::Landroid/view/animation/TranslateAnimation.setDuration()
340,APICall::Landroid/widget/ListView.getChildAt()
341,APICall::Landroid/widget/TextView.getId()
342,APICall::Landroid/content/Context.openFileInput()
343,APICall::Landroid/view/ViewGroup.removeView()
344,APICall::Landroid/view/ViewConfiguration.getScaledMaximumFlingVelocity()
345,APICall::Landroid/widget/ShareActionProvider.setShareIntent()
346,APICall::Landroid/widget/ListAdapter.isEnabled()
347,APICall::Landroid/os/Parcel.createTypedArray()
348,APICall::Landroid/net/Uri$Builder.scheme()
349,APICall::Landroid/net/Uri$Builder.query()
350,APICall::Landroid/net/Uri$Builder.fragment()
351,APICall::Landroid/view/Display.getMetrics()
352,APICall::Landroid/widget/SpinnerAdapter.getCount()
353,APICall::Landroid/view/FocusFinder.findNextFocus()
354,APICall::Landroid/view/animation/TranslateAnimation.setInterpolator()
355,APICall::Landroid/os/Parcel.writeTypedArray()
356,APICall::Landroid/widget/ListView.setContentDescription()
357,APICall::Landroid/content/Context.obtainStyledAttributes()
358,APICall::Landroid/widget/TextView.setGravity()
359,APICall::Landroid/widget/LinearLayout.onPopulateAccessibilityEvent()
360,APICall::Landroid/view/ViewGroup.getRight()
361,APICall::Landroid/os/Bundle.isEmpty()
362,APICall::Landroid/view/animation/Animation.setDuration()
363,APICall::Landroid/view/View.getPaddingLeft()
364,APICall::Landroid/view/ActionMode.getSubtitle()
365,APICall::Landroid/os/Bundle.putDouble()
366,APICall::Landroid/widget/LinearLayout.findViewById()
367,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.setAccessibilityFocused()
368,APICall::Landroid/os/Handler.obtainMessage()
369,APICall::Landroid/text/Html.toHtml()
370,APICall::Landroid/os/Bundle.getCharSequence()
371,APICall::Landroid/view/View.setBackgroundDrawable()
372,APICall::Landroid/webkit/WebView.setVisibility()
373,APICall::Landroid/content/res/TypedArray.getBoolean()
374,APICall::Landroid/view/ViewTreeObserver.isAlive()
375,APICall::Landroid/os/HandlerThread.start()
376,APICall::Landroid/view/KeyEvent$DispatcherState.handleUpEvent()
377,APICall::Landroid/os/Bundle.putBundle()
378,APICall::Landroid/os/Bundle.putInt()
379,APICall::Landroid/os/HandlerThread.getLooper()
380,APICall::Landroid/view/ViewConfiguration.getScaledTouchSlop()
381,APICall::Landroid/view/View.inflate()
382,APICall::Landroid/os/Debug.getNativeHeapAllocatedSize()
383,APICall::Landroid/widget/TextView.setOnClickListener()
384,APICall::Landroid/view/ViewGroup.getId()
385,APICall::Landroid/view/InflateException.initCause()
386,APICall::Landroid/widget/TextView.getLeft()
387,APICall::Landroid/view/View$MeasureSpec.getSize()
388,APICall::Landroid/widget/EdgeEffect.draw()
389,APICall::Landroid/widget/TextView.getMeasuredHeight()
390,APICall::Landroid/content/Intent.writeToParcel()
391,APICall::Landroid/view/animation/AlphaAnimation.setInterpolator()
392,APICall::Landroid/content/Intent.setClassName()
393,APICall::Landroid/view/View.scrollTo()
394,APICall::Landroid/widget/Adapter.getItem()
395,APICall::Landroid/widget/FrameLayout.getAlpha()
396,APICall::Landroid/view/View.isEnabled()
397,APICall::Landroid/widget/LinearLayout.setEnabled()
398,APICall::Landroid/content/res/TypedArray.length()
399,APICall::Landroid/view/ViewParent.requestDisallowInterceptTouchEvent()
400,APICall::Landroid/content/res/Resources.getDimensionPixelOffset()
401,APICall::Landroid/content/Context.openFileOutput()
402,APICall::Landroid/view/View.setLayerPaint()
403,APICall::Landroid/view/KeyEvent.getKeyData()
404,APICall::Landroid/widget/LinearLayout.addView()
405,APICall::Landroid/content/Intent.getStringArrayListExtra()
406,APICall::Landroid/os/Bundle.setClassLoader()
407,APICall::Landroid/view/Window.invalidatePanelMenu()
408,APICall::Landroid/content/res/Resources.getDisplayMetrics()
409,APICall::Landroid/widget/Scroller.getFinalY()
410,APICall::Landroid/webkit/WebSettings.setAllowFileAccess()
411,APICall::Landroid/widget/FrameLayout.setContentDescription()
412,APICall::Landroid/view/KeyEvent.isCanceled()
413,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.setBoundsInScreen()
414,APICall::Landroid/widget/FrameLayout.setId()
415,APICall::Landroid/content/pm/PackageManager.getPackageInstaller()
416,APICall::Landroid/view/animation/AnimationUtils.currentAnimationTimeMillis()
417,APICall::Landroid/view/View.willNotDraw()
418,APICall::Landroid/view/View.postInvalidate()
419,APICall::Landroid/widget/Scroller.getDuration()
420,APICall::Landroid/text/SpannableStringBuilder.subSequence()
421,APICall::Landroid/content/pm/PackageManager.getApplicationLabel()
422,APICall::Landroid/view/ViewConfiguration.getScaledMinimumFlingVelocity()
423,APICall::Landroid/view/ViewGroup.draw()
424,APICall::Landroid/widget/ImageButton.setPadding()
425,APICall::Landroid/content/Context.registerReceiver()
426,APICall::Landroid/view/ViewTreeObserver.removeOnScrollChangedListener()
427,APICall::Landroid/content/Intent.putStringArrayListExtra()
428,APICall::Landroid/view/VelocityTracker.getXVelocity()
429,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.recycle()
430,APICall::Landroid/widget/LinearLayout.onInitializeAccessibilityEvent()
431,APICall::Landroid/view/VelocityTracker.getYVelocity()
432,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.setFocused()
433,APICall::Landroid/view/View.resolveSize()
434,APICall::Landroid/view/SubMenu.setHeaderView()
435,APICall::Landroid/view/VelocityTracker.obtain()
436,APICall::Landroid/view/View.postDelayed()
437,APICall::Landroid/content/pm/PackageManager.getDrawable()
438,APICall::Landroid/widget/OverScroller.computeScrollOffset()
439,APICall::Landroid/view/View.getBackground()
440,APICall::Landroid/webkit/WebView.loadData()
441,APICall::Landroid/util/SparseBooleanArray.clear()
442,APICall::Landroid/view/ActionMode.getCustomView()
443,APICall::Landroid/widget/ProgressBar.onAttachedToWindow()
444,APICall::Landroid/widget/TextView.setText()
445,APICall::Landroid/util/SparseBooleanArray.get()
446,APICall::Landroid/view/View.removeCallbacks()
447,APICall::Landroid/content/SharedPreferences.getInt()
448,APICall::Landroid/webkit/WebView.invalidate()
449,APICall::Landroid/view/View.onInitializeAccessibilityEvent()
450,APICall::Landroid/view/View.post()
451,APICall::Landroid/content/pm/PackageInstaller.getAllSessions()
452,APICall::Landroid/widget/Toast.makeText()
453,APICall::Landroid/widget/OverScroller.getFinalY()
454,APICall::Landroid/widget/LinearLayout.getAlpha()
455,APICall::Landroid/util/Log.isLoggable()
456,APICall::Landroid/widget/TextView.getText()
457,APICall::Landroid/net/wifi/WifiManager.createWifiLock()
458,APICall::Landroid/widget/Toast.setGravity()
459,APICall::Landroid/os/Bundle.writeToParcel()
460,APICall::Landroid/text/TextUtils.split()
461,APICall::Landroid/widget/TabHost.onRestoreInstanceState()
462,APICall::Landroid/webkit/WebView.onAttachedToWindow()
463,APICall::Landroid/view/MenuItem.isEnabled()
464,APICall::Landroid/view/ActionMode.getMenu()
465,APICall::Landroid/os/Handler.sendMessageDelayed()
466,APICall::Landroid/widget/PopupWindow$OnDismissListener.onDismiss()
467,APICall::Landroid/content/res/Resources.getIdentifier()
468,APICall::Landroid/content/Intent.setAction()
469,APICall::Landroid/view/ViewTreeObserver$OnGlobalLayoutListener.onGlobalLayout()
470,APICall::Landroid/widget/ListView.getFirstVisiblePosition()
471,APICall::Landroid/view/Window.hasFeature()
472,APICall::Landroid/content/Intent.getComponent()
473,APICall::Landroid/content/Intent.resolveActivity()
474,APICall::Landroid/os/Bundle.keySet()
475,APICall::Landroid/view/View.onSaveInstanceState()
476,APICall::Landroid/widget/PopupWindow.setWidth()
477,APICall::Landroid/content/ComponentName.getClassName()
478,APICall::Landroid/content/pm/PackageInstaller$SessionInfo.getAppPackageName()
479,APICall::Landroid/widget/PopupWindow.setHeight()
480,APICall::Landroid/content/res/TypedArray.getDrawable()
481,APICall::Landroid/webkit/WebView.onDetachedFromWindow()
482,APICall::Landroid/view/TextureView.getBitmap()
483,APICall::Landroid/widget/SpinnerAdapter.getView()
484,APICall::Landroid/webkit/WebViewClient.onReceivedError()
485,APICall::Landroid/net/Uri.getSchemeSpecificPart()
486,APICall::Landroid/os/Message.getData()
487,APICall::Landroid/content/SharedPreferences.getLong()
488,APICall::Landroid/content/res/XmlResourceParser.next()
489,APICall::Landroid/view/Window.setFlags()
490,APICall::Landroid/text/TextPaint.setUnderlineText()
491,APICall::Landroid/widget/OverScroller.isFinished()
492,APICall::Landroid/content/Intent.getParcelableArrayListExtra()
493,APICall::Landroid/content/IntentFilter.addAction()
494,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.isPassword()
495,APICall::Landroid/content/res/AssetManager.open()
496,APICall::Landroid/widget/LinearLayout.onWindowFocusChanged()
497,APICall::Landroid/content/res/XmlResourceParser.getAttributeValue()
498,APICall::Landroid/widget/LinearLayout.onAttachedToWindow()
499,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.getText()
500,APICall::Landroid/widget/AdapterView.getPositionForView()
501,APICall::Landroid/content/res/Resources$Theme.obtainStyledAttributes()
502,APICall::Landroid/widget/SeekBar.setProgress()
503,APICall::Landroid/view/ViewGroup.onTouchEvent()
504,APICall::Landroid/content/Context.getCacheDir()
505,APICall::Landroid/view/accessibility/AccessibilityNodeInfo.setVisibleToUser()
506,APICall::Landroid/widget/Scroller.computeScrollOffset()
507,APICall::Landroid/os/Looper.getMainLooper()
508,APICall::Landroid/widget/TabWidget.setId()
509,APICall::Landroid/content/SharedPreferences$Editor.putLong()
